id;codigo;nome;semestre;horas;requisitos;corequisitos;area;tipo;horario
ene0066;ENE0066;INTRODUCAO AOS CIRCUITOS ELETRICOS;98;30;MAT0026 E MAT0031;;prodesp;OPT;3M12, 4T23, 6M12, 6M34
ene0067;ENE0067;SINAIS E SISTEMAS EM TEMPO CONTINUO;98;60;MAT0026 E MAT0031;;prodesp;OPT;24M34, 24T45, 35M34, 35T23
ene0274;ENE0274;FUNDAMENTOS DE REDES;98;60;ENE0013 E EST0023 OU EST0070;;prodesp;OPT;35T23
ene0289;ENE0289;CIRCUITOS POLIFASICOS;98;60;ENE0304 OU ENE0041 OU ENE0042 OU ENE0172;;prodesp;OPT;35M34
ene0304;ENE0304;CIRCUITOS ELETRICOS;98;60;ENE0013 E EST0023 OU EST0070;;prodesp;OPT;24T23, 35T23, 46M12
enm0027;ENM0027;TECNOLOGIAS DE COMANDO NUMERICO;98;60;ENM0146 OU ENM0127;;prodesp;OPT;24M34
enm0068;ENM0068;TERMODINAMICA 1;98;60;IFD0175 OU IFD0013 OU ENM0080;;prodesp;OPT;35T45, 46M34
enm0071;ENM0071;TRANSFERENCIA DE CALOR;98;90;ENM0068 OU ENM0233 OU ENM0128 OU ENM0233 OU ENM0068 E ENM0082 OU ENM0128 E ENM0082 OU ENM0068 E FGA0204 OU ENM0068 E IQD0005;;prodesp;OPT;246M34, 24M34, 6M12
enm0072;ENM0072;INSTALACOES TERMOMECANICAS 1;98;60;ENM0071;;prodesp;OPT;35T45
enm0080;ENM0080;FENOMENOS DE TRANSPORTE;98;75;MAT0027 E ENC0132 OU MAT0027 E ENM0120 OU MAT0027 E FGA0154 OU MAT0027 E ENC0035;;prodesp;OPT;24M34, 35T23, 4T23, 6T2, 6T234, 6T3
enm0082;ENM0082;MECANICA DOS FLUIDOS 2;98;75;ENM0140;;prodesp;OPT;24M34, 6M3, 6M4, 6M5, 6T1
enm0090;ENM0090;MATERIAIS DE CONSTRUCAO MECANICA 1;98;90;IQD0051 OU IQD0125 E IQD0126;;prodesp;OPT;246M12, 24M12, 6M34, 6T45
enm0120;ENM0120;MECANICA 1;98;60;IFD0171 E MAT0026 E MAT0031;;prodesp;OPT;35T23, 46T23
enm0121;ENM0121;MECANICA 2;98;60;IFD0171 E MAT0027 E MAT0031;;prodesp;OPT;24M12, 35M12
enm0122;ENM0122;PROJETO DE MAQUINAS 1;98;60;ENM0121 E ENM0165 E ENM0132;;prodesp;OPT;24M12
enm0123;ENM0123;PROJETO DE MAQUINAS 2;98;60;ENM0165 E ENM0132;;prodesp;OPT;35M34
enm0124;ENM0124;PROJETO DE SISTEMAS MECANICOS;98;60;ENM0122 E ENM0123;;prodesp;OPT;35M34
enm0127;ENM0127;TECNOLOGIA DE FABRICACAO 1;98;45;ENM0164;;prodesp;OPT;5M123, 5M124
enm0132;ENM0132;DESENHO MECANICO ASSISTIDO POR COMPUTADOR 2;98;60;ENM0131 OU ENC0053 E ENC0054 OU ENM0230;;prodesp;OPT;24M34, 3T2345
enm0134;ENM0134;SISTEMAS INTEGRADOS DE MANUFATURA;98;60;ENM0027 OU ENM0171;;prodesp;OPT;56T23
enm0140;ENM0140;MECANICA DOS FLUIDOS 1;98;75;MAT0027 E ENC0132 OU MAT0027 E ENM0163 OU MAT0027 E ENM0120;;prodesp;OPT;46M12, 5T4
enm0145;ENM0145;METROLOGIA;98;60;EST0023;;prodesp;OPT;35M12
enm0146;ENM0146;TECNOLOGIA MECANICA 1;98;60;ENM0090 E ENM0145;;prodesp;OPT;35T23
enm0164;ENM0164;MECANICA DOS MATERIAIS 1;98;60;ENM0163 OU ENM0120 OU ENM0203;;prodesp;OPT;35M34
enm0165;ENM0165;MECANICA DOS MATERIAIS 2;98;60;ENM0164;;prodesp;OPT;35M12
epr0014;EPR0014;CONTROLE ESTATISTICO DE PROCESSOS;98;60;EST0023;;prodesp;OPT;Nao Ofertada
epr0021;EPR0021;SEMINARIO EM ENGENHARIA DE PRODUCAO;98;60;;;prodesp;OPT;5N1234
epr0022;EPR0022;SISTEMAS DE SUPORTE A DECISAO;98;60;EPR0072;;prodesp;OPT;2N1234
epr0023;EPR0023 | EPR0027;TOPICOS ESPECIAIS EM PESQUISA OPERACIONAL;98;60;;;prodesp;OPT;2N1234
epr0036;EPR0036;FINANCAS COMPORTAMENTAIS E PESSOAIS;98;30;;;prodesp;OPT;2N12
epr0037;EPR0037;SISTEMA DE PRODUCAO ENXUTA;98;60;;;prodesp;OPT;Nao Ofertada
epr0038;EPR0038;GERENCIAMENTO DE PROJETOS COMPLEXOS;98;30;EPR0002;;prodesp;OPT;Nao Ofertada
epr0047;EPR0047;GERENCIAMENTO DA CADEIA DE SUPRIMENTO;98;60;EPR0012;;prodesp;OPT;Nao Ofertada
epr0048;EPR0048;INTRODUCAO A METODOLOGIA DE PESQUISA PARA ENGENHARIA DE PRODUCAO;98;30;;;prodesp;OPT;4N12
epr0067;EPR0067 | EPR0027;TOPICOS ESPECIAIS EM PESQUISA OPERACIONAL;98;30;;;prodesp;OPT;2N1234
epr0068;EPR0068;ORGANIZACAO INDUSTRIAL;98;60;EST0023 OU EST0022 OU ENC0274;;prodesp;OPT;2T2345, 4M1234, 5T2345
epr0074;EPR0074;PROJETO DE SISTEMAS DE PRODUCAO 3;98;30;EPR0073;;prodesp;OPT;4N12
est0027;EST0027;BIOESTATISTICA;98;60;MAT0022 OU MAT0025;;exatas;OPT;35M12, 35M34
fdd0004;FDD0004;INSTITUICOES DE DIREITO PUBLICO E PRIVADO;98;60;;;humanas;OPT;24M12, 35M12, 35N12, 35N34
fga0133;FGA0133;ENGENHARIA ECONOMICA;98;60;;;prodesp;OPT;35M34, 46T45
fga0152;FGA0152;ERGONOMIA DO PRODUTO;98;60;FGA0155;;prodesp;OPT;46M12
fga0154;FGA0154;MECANICA DOS SOLIDOS 1 PARA ENGENHARIA;98;60;IFD0171;;prodesp;OPT;35M12, 35M34
fga0155;FGA0155;INTRODUCAO AO DESIGN E CONCEPCAO DE VEICULOS;98;60;;;prodesp;OPT;46T23
fga0168;FGA0168;DESENHO INDUSTRIAL ASSISTIDO POR COMPUTADOR;98;90;;;prodesp;OPT;235M34, 246M12, 356T45
fga0204;FGA0204;DINAMICA DOS FLUIDOS;98;75;ENM0080;;prodesp;OPT;26M34, 4M3, 4M4
gpp0037;GPP0037;FUNDAMENTOS DA ADMINISTRACAO PUBLICA;98;60;ADM0023;;humanas;OPT;24N12, 35N12, 35N34, 3N12, 5N12
ifd0181;IFD0181;FISICA 3 EXPERIMENTAL;98;60;IFD0175 E MAT0026 OU IFD0217 E IFD0220 E MAT0026 OU IFD0010 E IFD0013;IFD0179 OU IFD0055;exatas;OPT;2M1234, 2T2345, 3M1234, 4M1234, 6M1234, 6T2345
igd0021;IGD0021;GEOLOGIA GERAL;98;90;;;exatas;OPT;247T45, 357M34, 35M12, 35N12, 35T23, 35T45, 3N34, 6M1234, 6N1234, 7M12, 7M1234, 7M34, 7T23, 7T45
igd0173;IGD0173;GEOLOGIA BASICA;98;60;;;exatas;OPT;46M12, 46T23
igd0183;IGD0183;TOPOGRAFIA;98;60;;;exatas;OPT;3M1234, 4T2345, 5M1234, 6M1234, 6T2345, 7M1234
iqd0003;IQD0003;INTRODUCAO A COMPUTACAO APLICADA AOS PROCESSOS QUIMICOS;98;60;;;exatas;OPT;24M12, 24M34, 35M34, 36T23
iqd0005;IQD0005;TRANSFERENCIA DE QUANTIDADE DE MOVIMENTO;98;60;MAT0027;;exatas;OPT;24T45
iqd0009;IQD0009;OPERACOES UNITARIAS DA ENGENHARIA QUIMICA 1;98;60;IQD0005;;exatas;OPT;35T45
iqd0010;IQD0010;TRANSFERENCIA DE MASSA;98;60;MAT0027 E IQD0101 E IQD0005 OU MAT0027 E IQD0296 E IQD0005;;exatas;OPT;26T23
iqd0011;IQD0011;OPERACOES UNITARIAS DA ENGENHARIA QUIMICA 2;98;60;ENM0071 E IQD0009;;exatas;OPT;35M12
iqd0012;IQD0012;OPERACOES UNITARIAS DA ENGENHARIA QUIMICA 3;98;60;IQD0010 E IQD0011 E IQD0046;;exatas;OPT;56T45
