id;codigo;nome;semestre;horas;requisitos;corequisitos;area;tipo;horario
enm0002;ENM0002;INTRODUCAO A EXPLORACAO DE PETROLEO EM ALTO MAR;98;30;MAT0048 OU MAT0026;;prodesp;OPT;Nao Ofertada
enm0163;ENM0163 | ENM0121;MECANICA 2;98;90;MAT0026 E MAT0031 E IFD0173 OU MAT0026 E IFD0173 E MAT0039;;prodesp;OPT;24M12, 35M12
enm0174;ENM0174 | ENM0173;SISTEMAS MECANICOS;98;60;ENE0243 OU ENE0172 OU IFD0179 OU ENE0001;;prodesp;OPT;35T45
enm0176;ENM0176;INTRODUCAO A ECOLOGIA INDUSTRIAL;98;60;;;prodesp;OPT;Nao Ofertada
enm0187;ENM0187;PROCESSO DE DESENVOLVIMENTO DE PRODUTO;98;60;ENM0027 OU ENM0122 OU ENM0171 OU FGA0195;;prodesp;OPT;Nao Ofertada
epr0003;EPR0003;TOMADA DE DECISAO COM ENFOQUE EM ANALISE MULTICRITERIO;98;60;;;prodesp;OPT;Nao Ofertada
epr0005;EPR0005;GESTAO DE RISCOS;98;60;EST0023 E EPR0064;;prodesp;OPT;Nao Ofertada
epr0016;EPR0016 | EPR0035;INOVACAO EM SISTEMAS DE PRODUCAO;98;60;EPR0064;;prodesp;OPT;24T45
epr0017;EPR0017;DINAMICA DE SISTEMAS EM ORGANIZACOES;98;60;EPR0004;;prodesp;OPT;Nao Ofertada
epr0018;EPR0018;GESTAO DE RISCOS EM ORGANIZACAO;98;60;;;prodesp;OPT;Nao Ofertada
epr0019;EPR0019;MERCADOLOGIA ESTRATEGICA;98;60;EPR0069;;prodesp;OPT;Nao Ofertada
epr0020;EPR0020 | EPR0066;PESQUISA OPERACIONAL EM ENGENHARIA 1;98;60;;;prodesp;OPT;235N34
epr0024;EPR0024 | EPR0027;TOPICOS ESPECIAIS EM PESQUISA OPERACIONAL;98;60;;;prodesp;OPT;2N1234
epr0025;EPR0025;TOPICOS ESPECIAIS EM ENGENHARIA DO TRABALHO E ERGONOMIA;98;60;;;prodesp;OPT;Nao Ofertada
epr0026;EPR0026 | EPR0021;SEMINARIO EM ENGENHARIA DE PRODUCAO;98;60;;;prodesp;OPT;5N1234
epr0027;EPR0027;TOPICOS ESPECIAIS EM PESQUISA OPERACIONAL;98;60;;;prodesp;OPT;2N1234
epr0028;EPR0028;TOPICOS ESPECIAIS EM PESQUISA ORGANIZACIONAL;98;60;;;prodesp;OPT;6N1234
epr0029;EPR0029;TOPICOS ESPECIAIS EM LOGISTICA;98;60;;;prodesp;OPT;Nao Ofertada
epr0032;EPR0032 | EPR0027;TOPICOS ESPECIAIS EM PESQUISA OPERACIONAL;98;30;;;prodesp;OPT;2N1234
epr0034;EPR0034;SISTEMAS COLABORATIVOS;98;30;;;prodesp;OPT;Nao Ofertada
epr0035;EPR0035;INOVACAO EM SISTEMAS DE PRODUCAO;98;60;EPR0069 OU ENM0134 OU ADM0092 OU FGA0195;;prodesp;OPT;24T45
epr0039;EPR0039 | EPR0002;PLANEJAMENTO E CONTROLE DA PRODUCAO;98;30;EPR0002;;prodesp;OPT;2N1234
epr0040;EPR0040 | EPR0077;ERGONOMIA DE SISTEMAS PRODUTIVOS;98;30;EPR0063 OU EPR0076 E EPR0071;;prodesp;OPT;4N1234
epr0041;EPR0041;CUSTEIO DE BENS E SERVICOS;98;30;;;prodesp;OPT;Nao Ofertada
epr0043;EPR0043;ENGENHARIA DE PRODUTOS FINANCEIROS;98;30;EPR0064;;prodesp;OPT;3N12
